id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2025-05-07;8395.21183333
NE;Nordeste;2025-05-07;14026.49854167
S;Sul;2025-05-07;14816.14666667
SE;Sudeste/Centro-Oeste;2025-05-07;44369.300625
N;Norte;2025-05-08;8390.27508333
NE;Nordeste;2025-05-08;14066.06158333
S;Sul;2025-05-08;14898.93466667
SE;Sudeste/Centro-Oeste;2025-05-08;44793.75525
N;Norte;2025-05-09;8410.05225
NE;Nordeste;2025-05-09;14138.12270833
S;Sul;2025-05-09;14850.05145833
SE;Sudeste/Centro-Oeste;2025-05-09;46114.91866667
N;Norte;2025-05-10;8084.70358333
NE;Nordeste;2025-05-10;13305.51266667
S;Sul;2025-05-10;11531.26070833
SE;Sudeste/Centro-Oeste;2025-05-10;43340.58779167
N;Norte;2025-05-11;7673.50870833
NE;Nordeste;2025-05-11;12532.13479167
S;Sul;2025-05-11;9528.94529167
SE;Sudeste/Centro-Oeste;2025-05-11;37634.59075
N;Norte;2025-05-12;8161.650125
NE;Nordeste;2025-05-12;13885.39858333
S;Sul;2025-05-12;12739.33558333
SE;Sudeste/Centro-Oeste;2025-05-12;42095.758375
N;Norte;2025-05-13;8143.47904167
NE;Nordeste;2025-05-13;13872.84045833
S;Sul;2025-05-13;13656.691
SE;Sudeste/Centro-Oeste;2025-05-13;42805.527625
N;Norte;2025-05-14;8098.24933333
NE;Nordeste;2025-05-14;13688.648375
S;Sul;2025-05-14;13781.63266667
SE;Sudeste/Centro-Oeste;2025-05-14;42054.66558333
N;Norte;2025-05-15;7971.60891667
NE;Nordeste;2025-05-15;13567.9955
S;Sul;2025-05-15;13689.69945833
SE;Sudeste/Centro-Oeste;2025-05-15;42459.98904167
N;Norte;2025-05-16;7979.78925
NE;Nordeste;2025-05-16;13413.70208333
S;Sul;2025-05-16;13680.793625
SE;Sudeste/Centro-Oeste;2025-05-16;42921.19383333
N;Norte;2025-05-17;7806.01883333
NE;Nordeste;2025-05-17;12780.9815
S;Sul;2025-05-17;12023.09520833
SE;Sudeste/Centro-Oeste;2025-05-17;40632.53891667
N;Norte;2025-05-18;7478.67991667
NE;Nordeste;2025-05-18;12134.634
S;Sul;2025-05-18;10680.65283333
SE;Sudeste/Centro-Oeste;2025-05-18;37641.51725
N;Norte;2025-05-19;8110.24720833
NE;Nordeste;2025-05-19;13401.20195833
S;Sul;2025-05-19;13764.68220833
SE;Sudeste/Centro-Oeste;2025-05-19;43674.58854167
N;Norte;2025-05-20;8185.36770833
NE;Nordeste;2025-05-20;13525.451
S;Sul;2025-05-20;14320.18325
SE;Sudeste/Centro-Oeste;2025-05-20;44395.49533333
N;Norte;2025-05-21;8213.073875
NE;Nordeste;2025-05-21;13304.17270833
S;Sul;2025-05-21;14140.46629167
SE;Sudeste/Centro-Oeste;2025-05-21;44729.528875
N;Norte;2025-05-22;8310.39829167
NE;Nordeste;2025-05-22;13160.18258333
S;Sul;2025-05-22;13953.08108333
SE;Sudeste/Centro-Oeste;2025-05-22;44692.74208333
N;Norte;2025-05-23;8380.59979167
NE;Nordeste;2025-05-23;13512.81970833
S;Sul;2025-05-23;13431.507
SE;Sudeste/Centro-Oeste;2025-05-23;44286.87695833
N;Norte;2025-05-24;8024.37070833
NE;Nordeste;2025-05-24;13067.80183333
S;Sul;2025-05-24;11786.2165
SE;Sudeste/Centro-Oeste;2025-05-24;40164.14704167
N;Norte;2025-05-25;7793.28754167
NE;Nordeste;2025-05-25;11971.29770833
S;Sul;2025-05-25;10255.46654167
SE;Sudeste/Centro-Oeste;2025-05-25;36510.313
N;Norte;2025-05-26;8428.12183333
NE;Nordeste;2025-05-26;12936.48041667
S;Sul;2025-05-26;13245.38491667
SE;Sudeste/Centro-Oeste;2025-05-26;42070.78854167
N;Norte;2025-05-27;8343.93233333
NE;Nordeste;2025-05-27;13406.05041667
S;Sul;2025-05-27;13852.55241667
SE;Sudeste/Centro-Oeste;2025-05-27;43154.15933333
N;Norte;2025-05-28;8411.25108333
NE;Nordeste;2025-05-28;13555.292125
S;Sul;2025-05-28;13419.74258333
